Lambda (DA factor),Learning Rate,Gamma (focal loss),Best Validation Accuracy
0.2,0.02,2.0,0.8231249954551458
variablepaper,0.02,2.0,0.8246874865144491
0.3,0.02,2.0,0.8437499804422259
0.2,0.01,2.0,0.8415624834597111
variablepaper,0.01,2.0,0.8256249921396375
0.3,0.01,2.0,0.7884374829009175
0.2,0.02,5.0,0.848124984651804
variablepaper,0.02,5.0,0.7999999895691872
0.3,0.02,5.0,0.8503124890848994
0.2,0.01,5.0,0.7899999944493175
variablepaper,0.01,5.0,0.7778124855831265
0.3,0.01,5.0,0.7649999922141433
